"","Cluster_ID","IDR_O","IDR_d_ex","IDR_H","city"
"1","25.7",8.96,6.9,71.32,"SF"
"2","25.6",8.11,5.62,65.02,"SF"
"3","25.5",9.82,7.29,73.97,"SF"
"4","25.4",9.68,7.75,73.43,"SF"
"5","25.3",10.18,6.89,78.23,"SF"
"6","25.2",9.38,5.62,71.99,"SF"
"7","25.1",8.88,4.61,70.42,"SF"
"8","1.11",0.57,3.09,2.93,"SLC"
"9","1.10",1.29,5.62,5.43,"SLC"
"10","1.09",1,5.12,6.36,"SLC"
"11","1.08",1.03,5.04,5.03,"SLC"
"12","1.07",1.17,4.78,5,"SLC"
"13","1.06",0.93,5.29,4.76,"SLC"
"14","1.05",0.86,4.5,4.06,"SLC"
"15","1.04",1.01,6.53,5.84,"SLC"
"16","1.03",1.2,6.74,6.58,"SLC"
"17","1.02",1.66,6.32,5.17,"San Diego"
"18","1.01",0.82,5,4.82,"SLC"
"19","26.1",3.84,9.27,37.2,"Phoenix"
"20","26.2",4.19,11.02,35.45,"Phoenix"
"21","27.1",4.09,6.07,35.32,"San Diego"
"22","27.2",4.27,2.37,32.75,"San Diego"
"23","28.1",0.53,5.64,2.32,"Los Angeles"
"24","28.2",3.78,14.98,42.99,"Los Angeles"
"25","28.3",4.32,15.65,46.85,"Los Angeles"
